deal_id	has_MR	prom_length	price	discount_pct	coupon_duration	featured	limited_supply	revenue	ps	ps_logit	revenue_scaled	ps_quintile	log_revenue
checkered-flag-indoor-karting-2	0	5	35	63	86	0	1	9100	0.17078835011501312	-1.5800503587399914	-0.08514465386519277	1	9.116029692504942
chicago-artists-coalition	0	2	20	0	9	0	1	2800	0.4410243207511131	-0.2370059415820773	-0.4328537545455497	5	7.937374696163295
chicago-artists-coalition-1	0	4	20	0	4	0	1	600	0.28671858619915797	-0.9113748334791409	-0.55427598017996	3	6.396929655216146
chicago-photo-safaris-4	0	3	59	50	232	1	1	6490	0.4489992125794036	-0.20471510420737415	-0.22919556700419777	5	8.778017809698136
chicago-premier-boat-rental-leasing	0	4	78	61	185	0	1	5460	0.2215109655532745	-1.2568828115420663	-0.286043245369399	2	8.605204068738951
chicago-race-factory-2	0	3	30	52	186	0	0	28800	0.4814018785536286	-0.07442682312925072	1.002136184770209	5	10.268130666124037
chicago-race-factory-4	0	3	30	52	185	0	1	14100	0.39065911636462447	-0.4445424997853465	0.19081494984937622	4	9.55393007636626
chicago-yacht-share	0	3	119	60	95	0	1	2380	0.1694241878462639	-1.5897136524182955	-0.45603436125757346	1	7.77485576666552
chicagos-finest-river-walk-tour-2	0	4	20	60	104	1	0	18200	0.4106613730684273	-0.3612319717522692	0.41710182489532277	5	9.809176873064887
childrens-museum-oak-lawn	0	3	6	50	127	0	1	6000	0.39494876560372794	-0.4265570902417251	-0.25623960816822555	5	8.699514748210191
cinemart-cinemas	0	4	12	54	369	0	0	12000	0.5939078319537117	0.38014399353212297	0.07491191628925724	5	9.392661928770137
circle-line-downtown-1	0	5	14	52	139	1	1	14000	0.306196903678331	-0.8179598262870145	0.18529575777508484	3	9.546812608597396
city-lights-cruises-3	0	6	45	53	155	0	1	28350	0.15813861903385668	-1.6721433859573565	0.9772998204358979	1	10.252382309155898
citysolve-urban-race-chicago	0	4	30	54	13	0	1	600	0.1987359399585012	-1.3942135470296981	-0.55427598017996	1	6.396929655216146
cobble-hill-new-york	0	4	17	59	98	0	0	85000	0.3415514830788494	-0.6563879124051316	4.103922130521964	4	11.350406535472453
coffee-tea-festival	0	3	10	57	8	0	1	3100	0.2818402531561623	-0.9353516006826411	-0.41629617832267557	3	8.039157390473237
community-rowing-boathouse-1	0	5	18	51	118	1	1	7920	0.28530090422580684	-0.9183171814424437	-0.15027112034183104	3	8.977146484808472
coney-island-luna-park	0	4	22	50	143	0	1	22000	0.30234979299141507	-0.8361332390072787	0.6268311237183952	3	9.998797732340453
courageous-sailing-center-4	0	8	95	50	134	1	1	23750	0.07578959276376848	-2.5009787745870513	0.7234169850184944	1	10.075337809462788
cowboy-jims-western-adventures-1	0	5	35	53	126	0	1	6300	0.2042580172012194	-1.3598910062134224	-0.2396820319453514	2	8.748304912379623
cpx-sports	0	5	30	67	182	0	1	17100	0.22602042355023882	-1.2309201213452579	0.3563907120781176	2	9.746833742490752
crawfish-festival-at-z-hotel	0	5	30	54	10	0	1	900	0.15018409338542327	-1.733157914745383	-0.5377184039570859	1	6.802394763324311
created-by-you	0	3	15	52	191	0	0	2250	0.5180139254208544	0.07208690223136892	-0.4632093109541523	5	7.718685495198466
custom-rides-car-show-1	0	3	12	54	5	0	1	2760	0.28104377168888145	-0.9392900489644809	-0.43506143137526626	3	7.9229859587111955
dc-624-amf-chicago-1	0	3	15	64	70	0	0	1200	0.3895859714275182	-0.449052898804891	-0.5211608277342118	4	7.090076835776092
dc-brd-5-bar-karaoke-lounge	0	7	25	54	122	0	0	3500	0.16992797865141918	-1.586137777443764	-0.39421941002551003	1	8.160518247477505
dc-brd-above-all-cruises	0	7	14	44	122	0	1	5600	0.14444757978015732	-1.7788306937725817	-0.27831637646539104	1	8.630521876723241
dc-brd-chicago-savvy-tours	0	7	12	52	108	0	1	12000	0.1330319971491013	-1.8744123911511075	0.07491191628925724	1	9.392661928770137
dc-brd-eskape-entertainment-center	0	7	25	70	185	0	0	10500	0.1837157951547362	-1.4913726126293434	-0.007875964825113454	1	9.259130536145614
dc-brd-jump-trax	0	7	25	50	48	0	1	1500	0.10142816968207284	-2.181455787642514	-0.5046032515113377	1	7.313220387090301
dc-bs1-memories-and-beyond	0	7	25	50	157	0	1	12500	0.14211995318331552	-1.797792842403101	0.10250787666071413	1	9.433483923290392
dc-bth-boobs-and-tubes-new-york	0	7	119	51	6	0	0	1190	0.058497433517633604	-2.7784941922619746	-0.5217127469416409	1	7.081708586105575
dc-bth-cityside-harbor-shuttle	0	7	30	50	55	0	0	3900	0.13785838841866246	-1.8331925523436081	-0.3721426417283445	1	8.268731832117737
dc-bth-courageous-sailing-center	0	7	95	50	70	0	0	3800	0.08794213199245825	-2.3390244326483867	-0.3776618338026359	1	8.242756345714477
dc-bth-midtown-bike-shop	0	7	10	50	185	0	1	1300	0.17217039091819483	-1.5703227157534312	-0.5156416356599204	1	7.170119543449628
dc-fd2-dirtventures-atv-rentals	0	7	59	50	97	0	1	7670	0.09102448081934711	-2.30118967189009	-0.1640691005275595	1	8.945071894361302
dc-fd2-gt-dream-cars	0	7	49	79	385	0	1	49000	0.19283518773462782	-1.4316920012312395	2.1170129837770677	1	10.799575577092764
dc-ghd-bike-and-roll-chicago	0	6	59	50	238	0	1	20650	0.18595561180572387	-1.4765068964401027	0.5523220307154616	1	9.935470598389179
dc-ghd-fireside-bowl	0	6	12	75	185	0	0	12000	0.25144043178129594	-1.0909446744298559	0.07491191628925724	2	9.392661928770137
dc-ghd-frames-bowling-lounge	0	6	26	52	129	0	0	21060	0.22691119187786954	-1.225835213872597	0.5749507182200563	2	9.955130785687967
